Ticker,Spinoff_Date,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Return_Percent
BHF,2017-08-07,2017-11-05,56.66,2019-08-07,34.93,-38.35
JBGS,2017-07-18,2017-10-16,23.69,2019-07-18,30.17,27.32
BKR,2017-07-05,2017-10-03,28.91,2019-07-05,20.24,-29.98
SMHI,2017-06-02,2017-08-31,12.81,2019-06-02,13.75,7.34
CARS,2017-06-01,2017-08-30,25.92,2019-06-01,20.43,-21.18
VVV,2017-05-15,2017-08-13,20.23,2019-05-15,16.63,-17.83
DXC,2017-04-03,2017-07-02,62.35,2019-04-03,62.97,0.99
VREX,2017-01-30,2017-04-30,34.05,2019-01-30,28.03,-17.68
AQB,2017-01-19,2017-04-19,172.0,2019-01-19,45.0,-73.84
PK,2017-01-04,2017-04-04,13.69,2019-01-04,15.96,16.56
HGV,2017-01-04,2017-04-04,30.16,2019-01-04,27.1,-10.15
CNDT,2017-01-03,2017-04-03,16.4,2019-01-03,10.59,-35.43
ILPT,2018-12-28,2019-03-28,15.69,2020-12-27,19.97,27.27
NMRK,2018-12-03,2019-03-03,8.25,2020-12-02,6.98,-15.47
SER,2018-11-29,2019-02-27,163.21,2020-11-28,63.21,-61.27
ACA,2018-11-01,2019-01-30,28.34,2020-10-31,46.15,62.83
REZI,2018-10-29,2019-01-27,20.79,2020-10-28,10.0,-51.9
FTDR,2018-10-01,2018-12-30,26.61,2020-09-30,38.91,46.22
GTX,2018-10-01,2018-12-30,12.0,2020-09-30,3.35,-72.04
KLXE,2018-09-17,2018-12-16,123.7,2020-09-16,5.02,-95.94
AMTB,2018-08-29,2018-11-27,13.78,2020-08-28,12.35,-10.38
WH,2018-06-01,2018-08-30,49.69,2020-05-31,43.95,-11.55
EDRY,2018-05-31,2018-08-29,7.2,2020-05-30,3.65,-49.24
NVT,2018-05-01,2018-07-30,22.87,2020-04-30,16.81,-26.49
RFL,2018-03-27,2018-06-25,9.07,2020-03-26,11.78,29.78
RDVT,2018-03-27,2018-06-25,9.12,2020-03-26,17.66,93.59
BRSP,2018-02-01,2018-05-02,9.01,2020-02-01,6.97,-22.71
LILA,2018-01-02,2018-04-02,18.61,2020-01-02,18.43,-1.01
BXRXQ,2019-11-22,2020-02-20,11198.77,2021-11-21,560.01,-95.0
CRNC,2019-10-02,2019-12-31,22.63,2021-10-01,91.28,303.36
PNTG,2019-10-01,2019-12-30,31.69,2021-09-30,28.09,-11.36
CTVA,2019-06-03,2019-09-01,25.96,2021-06-02,43.25,66.62
KTB,2019-05-23,2019-08-21,26.39,2021-05-22,53.65,103.3
ALC,2019-04-09,2019-07-08,59.94,2021-04-08,71.62,19.49
CYCN,2019-04-02,2019-07-01,232.8,2021-04-01,65.8,-71.74
DOW,2019-04-02,2019-07-01,34.13,2021-04-01,48.68,42.66
FOX,2019-03-21,2019-06-19,32.39,2021-03-20,38.37,18.45
FOXA,2019-03-21,2019-06-19,32.82,2021-03-20,40.93,24.71
WAB,2019-02-26,2019-05-27,63.32,2021-02-25,70.43,11.23
ARLO,2019-01-02,2019-04-02,4.13,2021-01-01,7.49,81.36
FTCO,2020-12-29,2021-03-29,3.26,2022-12-29,4.29,31.47
CNXC,2020-12-01,2021-03-01,116.77,2022-12-01,112.22,-3.89
VTRS,2020-11-17,2021-02-15,14.76,2022-11-17,9.3,-36.97
VNT,2020-10-09,2021-01-07,33.68,2022-10-09,16.93,-49.73
LNSR,2020-10-02,2020-12-31,7.25,2022-10-02,5.15,-28.97
BBXIA,2020-10-01,2020-12-30,4.16,2022-10-01,6.02,44.44
QVCGP,2020-09-15,2020-12-14,51.66,2022-09-15,31.59,-38.84
QVCGP,2020-09-15,2020-12-14,51.66,2022-09-15,31.59,-38.84
MAXN,2020-08-27,2020-11-25,2320.0,2022-08-27,2073.0,-10.65
AOUT,2020-08-25,2020-11-23,14.45,2022-08-25,8.43,-41.66
BEPC,2020-07-30,2020-10-28,34.21,2022-07-30,32.41,-5.26
IAC,2020-07-01,2020-09-29,64.93,2022-07-01,62.95,-3.04
EVFM,2020-05-21,2020-08-19,6300.0,2022-05-21,51.12,-99.19
SPHR,2020-04-20,2020-07-19,34.23,2022-04-20,37.87,10.63
OTIS,2020-04-03,2020-07-02,51.53,2022-04-03,71.38,38.51
CARR,2020-04-03,2020-07-02,21.19,2022-04-03,42.53,100.7
BIPC,2020-04-01,2020-06-30,24.3,2022-04-01,43.41,78.61
IR,2020-03-02,2020-05-31,28.6,2022-03-02,50.18,75.44
MDIA,2020-01-07,2020-04-06,3.6,2022-01-06,5.67,57.5
DOUG,2021-12-30,2022-03-30,6.62,2023-12-30,2.91,-56.06
IMPPP,2021-12-06,2022-03-06,12.57,2023-12-06,16.06,27.79
IMPP,2021-12-06,2022-03-06,112.5,2023-12-06,1.74,-98.45
SVRN,2021-11-30,2022-02-28,424932.88,2023-11-30,1150.0,-99.73
ONL,2021-11-15,2022-02-13,12.79,2023-11-15,4.41,-65.53
KD,2021-11-04,2022-02-02,16.31,2023-11-04,15.35,-5.89
CCSI,2021-10-08,2022-01-06,56.56,2023-10-08,25.09,-55.64
RRX,2021-10-05,2022-01-03,163.89,2023-10-05,130.95,-20.1
XP,2021-10-04,2022-01-02,25.84,2023-10-04,20.11,-22.19
SLVM,2021-10-01,2021-12-30,25.21,2023-10-01,39.11,55.13
JXN,2021-09-20,2021-12-19,30.11,2023-09-20,35.52,17.99
VSCO,2021-08-03,2021-11-01,49.84,2023-08-03,20.23,-59.41
GXO,2021-08-02,2021-10-31,90.82,2023-08-02,64.67,-28.79
NABL,2021-07-20,2021-10-18,12.7,2023-07-20,14.0,10.24
ACUT,2021-07-09,2021-10-07,2.0,2023-07-09,0.9,-55.0
DTM,2021-07-01,2021-09-29,37.87,2023-07-01,44.93,18.65
DK,2021-06-11,2021-09-09,13.71,2023-06-11,20.73,51.22
OGN,2021-06-03,2021-09-01,28.4,2023-06-03,17.78,-37.38
ASAIY,2021-03-08,2021-06-06,16.39,2023-03-08,17.27,5.34
THNPY,2021-02-16,2021-05-17,12.76,2023-02-16,17.83,39.72
CGNT,2021-02-02,2021-05-03,25.07,2023-02-02,3.91,-84.4
MBC,2022-12-15,2023-03-15,8.29,2024-12-14,16.25,96.02
BAM,2022-12-12,2023-03-12,27.59,2024-12-11,56.07,103.27
BAM,2022-12-12,2023-03-12,27.59,2024-12-11,56.07,103.27
RXO,2022-11-01,2023-01-30,17.56,2024-10-31,28.19,60.54
MPTI,2022-10-07,2023-01-05,8.8,2024-10-06,43.5,394.32
BHM,2022-10-06,2023-01-04,19.08,2024-10-05,15.2,-20.35
BHVN,2022-10-04,2023-01-02,13.5,2024-10-03,46.65,245.56
XPER,2022-10-03,2023-01-01,8.89,2024-10-02,8.92,0.34
FIP,2022-08-02,2022-10-31,2.48,2024-08-01,9.6,286.52
HLN,2022-07-22,2022-10-20,5.66,2024-07-21,8.61,51.98
EHAB,2022-07-01,2022-09-29,14.59,2024-06-30,8.75,-40.03
ORBS,2022-06-30,2022-09-28,172.5,2024-06-29,2.24,-98.7
CNF,2022-06-08,2022-09-06,26.4,2024-06-07,16.2,-38.64
WDS,2022-06-02,2022-08-31,17.31,2024-06-01,16.58,-4.22
WBD,2022-04-11,2022-07-10,13.66,2024-04-10,8.32,-39.09
ESAB,2022-04-05,2022-07-04,40.85,2024-04-04,110.23,169.85
EMBC,2022-04-01,2022-06-30,21.95,2024-03-31,11.92,-45.7
BRBR,2022-03-11,2022-06-09,25.86,2024-03-10,57.86,123.74
IVCGF,2022-01-03,2022-04-03,6.24,2024-01-03,8.37,34.25
WS,2023-12-01,2024-02-29,30.24,2025-11-30,33.87,12.01
NATL,2023-10-17,2024-01-15,21.99,2025-10-16,36.84,67.53
SDZNY,2023-10-04,2024-01-02,30.47,2025-10-03,57.71,89.37
LAC,2023-10-04,2024-01-02,6.33,2025-10-03,9.04,42.81
VLTO,2023-10-02,2023-12-31,80.22,2025-10-01,105.74,31.81
VSTS,2023-10-02,2023-12-31,20.52,2025-10-01,4.93,-75.98
RENX,2023-09-28,2023-12-27,495.24,2025-09-27,30.8,-93.78
PODC,2023-09-08,2023-12-07,2.08,2025-09-07,1.57,-24.52
LLYVK,2023-08-04,2023-11-02,33.33,2025-08-03,86.06,158.21
LLYVA,2023-08-04,2023-11-02,32.69,2025-08-03,83.33,154.91
LLYVK,2023-08-04,2023-11-02,33.33,2025-08-03,86.06,158.21
LLYVK,2023-08-04,2023-11-02,33.33,2025-08-03,86.06,158.21
BATRK,2023-07-19,2023-10-17,36.81,2025-07-18,46.6,26.6
BATRK,2023-07-19,2023-10-17,36.81,2025-07-18,46.6,26.6
PHIN,2023-07-05,2023-10-03,24.49,2025-07-04,46.42,89.54
FTRE,2023-07-03,2023-10-01,27.73,2025-07-02,5.17,-81.36
METCB,2023-06-22,2023-09-20,9.88,2025-06-21,7.65,-22.54
CISS,2023-06-22,2023-09-20,81900.0,2025-06-21,499.8,-99.39
KNF,2023-06-01,2023-08-30,50.67,2025-05-31,91.71,80.99
LAES,2023-05-24,2023-08-22,5.77,2025-05-23,3.48,-39.69
MSGE,2023-04-21,2023-07-20,35.12,2025-04-20,29.95,-14.72
CR,2023-04-04,2023-07-03,86.66,2025-04-03,144.93,67.25
STHO,2023-03-31,2023-06-29,14.35,2025-03-30,8.51,-40.7
TORO,2023-03-08,2023-06-06,1.66,2025-03-07,1.52,-7.97
VTS,2023-01-17,2023-04-17,14.89,2025-01-16,24.21,62.55
GEHC,2023-01-04,2023-04-04,81.15,2025-01-03,80.3,-1.05
INBX,2024-05-30,2024-08-28,13.96,2026-05-30,99.29,611.25
RBNE,2024-04-15,2024-07-14,42.5,2026-04-15,1.9,-95.53
GEV,2024-04-02,2024-07-01,166.9,2026-04-02,898.57,438.39
SOLV,2024-04-01,2024-06-30,51.45,2026-04-01,64.35,25.07
NXT,2024-01-03,2024-04-02,52.34,2026-01-02,92.78,77.26
