Date,Parent,New Stock,Parent Company,New Company,Spinoff_Year
"Jul 15, 2025",LBRDK,GLIBK,Liberty Broadband Corp,Gci Liberty Inc,2025
"Jul 15, 2025",LBRDA,GLIBA,Liberty Broadband Corp,Gci Liberty Inc,2025
"Jun 30, 2025",FTV,RAL,Fortive Corp,Ralliant Corp,2025
"May 7, 2025",CMRE,CMDB,Costamare Inc,Costamare Bulkers Holdings Ltd.,2025
"Apr 1, 2025",IAC,ANGI,Iac Inc,Angi Inc,2025
"Mar 18, 2025",ESEA,EHLD,Euroseas Ltd.,Euroholdings Ltd.,2025
"Feb 28, 2025",GPGI,RHLD,Gpgi Inc,Resolute Holdings Management Inc,2025
"Feb 24, 2025",WDC,SNDK,Western Digital Corp,Sandisk Corp,2025
"Feb 7, 2025",LEN,MRP,Lennar Corp,Millrose Properties Inc,2025
"Jan 30, 2025",FATBQ,TWNPQ,Fat Brands Inc,Twin Hospitality Group Inc,2025
"Jan 30, 2025",FATAQ,TWNPQ,Fat Brands Inc,Twin Hospitality Group Inc,2025
